HS CODE	DESCRIPTION  / KEYWORD
210690	Pop corn
210690	Popping corn
210690	Popping corn
220110	Aerated water
220110	Mineral water
220210	Artificial water
220210	Nectar
220210	Soy beverage
220210	Water
220290	Non alcoholic beer
220290	Non alcoholic beer
220429	Ice wine
220600	Rice wine
230800	Fish food
230990	Animal feed
230990	Cat food
230990	Dog food
230990	Kibble
240220	Cigarette
240311	Pipe tobacco
240319	Shish tob
240391	Leaf tobacco
250100	Aluminous cement
250100	Aluminum calcium phosphates
250100	Aluminum calcium phosphates
250100	Barium sulphate
250100	Calcium phosphates
250100	Calcium phosphates
250100	Cat litter
250100	Chlorite
250100	Crushed stone
250100	Deadburned magnesia
250100	Dinas earth
250100	Ecaussine
250100	Fire clay
250100	Fluorspar
250100	Fused magnesia
250100	Gravel
250100	Kaolin
250100	Kaolinic clays
250100	Kieserite
250100	Leucite
250100	Limestone
250100	Natural corundum
250100	Natural magnesium carbonat
250100	Natural magnesium carbonat
250100	Natural magnesium sulphates
250100	Quicklime
250100	Sandstone
250100	Sea water
250100	Silica sand
250100	Siliceous fossil meals
250100	Siliceous fossil meals
250100	Slag cement
250100	Sulphur
250100	Supersulphate cement
250100	Tarred macadam
260111	Ferruginous manganese
260111	Ferruginous manganese
260111	Niobium
260111	Tantalum
260111	Thorium
260111	Zinc
260111	Zirconium
261800	Slag sand
270900	Mineral wax
270900	Mineral wax
271114	Ethylene
271114	Propylene
271210	Peat wax
271210	Petroleum jelly
271210	Slack wax
280300	Chlorine
280300	Chlorosulphuric acid
280300	Diphosphorus pentaoxide
280300	Diphosphorus pentaoxide
280300	Dry ice
280300	Dry ice
280300	Fluorine
280300	Hydrated silica
280300	Hydrofluoric acid
280300	Hydrofluoric acid
280300	Hydrogen fluoride
280300	Nitric acid
280300	Sulphuric acid
281290	Phosphorus trisulphide
282590	Aluminum
282590	Iodide
282590	Sodium
282590	Zinc
282619	Calcium hypochlorite
282619	Calcium hypochlorite
282619	Chlorides
282619	Fluorine salts
